Treatment,plant mass (g),Sample Name,Fluroscence Index,Freshness Index,Humificaion Index,"Peak_A(ex260,maxem(380:460))","Peak_B(ex275,em310)","Peak_(ex275,em340)","Peak_C(ex350,maxem(420:480))","Peak_M(ex312,maxem(380:420))","CDOM(ex325,em470)","rypophan(ex285,em350)",MaxEM@370nm
unburned,400,1,1.585696,0.925236,1.863389,0.223035,0.163574,0.195328,0.084835,0.096871,0.070195,0.172034,445
burned,0,2,1.546995,0.856194,1.768513,0.274754,0.250776,0.249419,0.107679,0.121474,0.092099,0.24773,448
unburned,300,3,1.946764,1.004976,1.017519,0.435495,0.824711,0.829344,0.176688,0.267213,0.139908,0.66217,431
burned,5,4,1.546504,1.060497,1.336871,0.310147,0.397425,0.372838,0.118509,0.177299,0.109809,0.372394,436
unburned,250,5,1.811801,0.845705,1.279731,0.364264,0.398432,0.480949,0.128042,0.197075,0.122838,0.462503,451
burned,25,6,1.637943,0.871393,1.744454,0.294638,0.237129,0.228673,0.106714,0.144739,0.088642,0.224032,453
unburned,225,7,1.63177,0.969245,1.150779,0.337089,0.522731,0.457602,0.133219,0.21209,0.116886,0.419432,451
burned,50,8,1.528193,0.950739,1.383239,0.233429,0.329227,0.310387,0.080157,0.112401,0.077403,0.267655,436
unburned,200,9,1.824351,0.844408,1.323311,0.23492,0.370766,0.345265,0.081483,0.105936,0.075053,0.283073,452
burned,75,10,1.611671,1.041215,1.169156,0.31591,0.455846,0.449852,0.122995,0.171324,0.099487,0.403679,445
unburned,175,11,1.673972,0.886824,1.604588,0.213108,0.21567,0.203251,0.078856,0.106731,0.067369,0.209887,449
burned,100,12,1.753707,0.738513,1.574914,0.194194,0.222263,0.246989,0.075825,0.101408,0.075435,0.223425,468
unburned,150,13,1.585615,0.902748,1.46439,0.391573,0.494518,0.524149,0.154256,0.221776,0.132603,0.449703,452
burned,125,14,1.624795,0.924229,1.767655,0.189113,0.168393,0.188063,0.07544,0.098993,0.066196,0.189947,458
unburned,125,15,1.628347,1.015469,1.080712,0.220004,0.303131,0.314541,0.07766,0.10748,0.075477,0.291345,449
burned,125,16,1.589963,0.890568,1.717745,0.254356,0.22552,0.263255,0.096464,0.125289,0.082522,0.258409,448
unburned,100,17,1.540741,0.859418,1.328231,0.1906,0.225684,0.213055,0.069683,0.087337,0.061596,0.211317,438
burned,150,18,1.568761,0.881141,1.500028,0.298721,0.32144,0.334706,0.116808,0.142728,0.102039,0.307398,447
unburned,75,19,1.375229,1.091553,0.630389,0.309756,0.745134,0.811521,0.091779,0.131267,0.085779,0.67325,445
burned,175,20,1.638659,0.860198,1.371001,0.262658,0.32551,0.30146,0.095785,0.141408,0.083436,0.27575,450
unburned,50,21,1.50146,0.86907,1.308833,0.243533,0.320212,0.337436,0.09395,0.13449,0.082608,0.303498,449
burned,200,22,1.680153,0.878188,1.074576,0.28627,0.495612,0.493836,0.104606,0.148597,0.09235,0.427606,448
unburned,25,23,1.363721,0.920648,0.743696,0.311652,0.874647,0.992002,0.112967,0.14374,0.099032,0.819378,449
burned,225,24,1.300819,0.906283,1.420311,0.197655,0.204111,0.233823,0.079309,0.105386,0.066589,0.200548,450
unburned,10,25,1.625707,0.719601,1.836374,0.214606,0.1575,0.182074,0.078838,0.101418,0.063847,0.166459,464
burned,250,26,1.815915,0.838828,1.757787,0.210781,0.228095,0.236944,0.088144,0.109236,0.073808,0.206537,448
unburned,5,27,1.716555,0.982295,0.893797,0.25923,0.557385,0.547656,0.089957,0.119314,0.075543,0.483719,452
burned,300,28,1.228637,0.854648,1.330104,0.19186,0.22594,0.241719,0.069499,0.101254,0.05516,0.236885,476
unburned,0,29,1.691353,0.824316,1.223722,0.213457,0.265817,0.264952,0.085671,0.126774,0.078453,0.23846,438
burned,400,30,1.529894,0.891912,1.97744,0.21366,0.168502,0.179174,0.07719,0.099088,0.059588,0.175279,434